user_message,support_response,приказной_тон,отказ_помочь,наезды_оскорбления,канцелярит
"Помогите оспорить платеж за подписку.","Не направляйте повторные запросы. Отмена транзакций в пользу третьих лиц не будет реализована.",1,1,0,1
"Мне нужна архивная справка по счету за 2015 год.","Забудьте про данный архив. Формирование отчетности за указанный фискальный период не производится.",1,1,0,1
"Можно открыть счет в иностранной валюте?","Прекратите попытки открытия субсчетов. Валютное обслуживание клиентов по данному направлению полностью остановлено.",1,1,0,1
"Поменяйте мне номер телефона через поддержку.","Идите в кассу банка. Изменение персональных идентификационных данных в чате поддержки не допускается.",1,1,0,1
"Мне начислили штраф по ошибке, уберите его.","Примите отказ по вашей претензии. Аннулирование начисленных штрафных санкций не будет произведено.",1,1,0,1
"Помогите перевести деньги на брокерский счет.","Осуществляйте инвестиционную деятельность самостоятельно. Перевод активов между внутренними счетами оператором не выполняется.",1,1,0,1
"Вышлите мне новый договор на подпись.","Ожидайте официального уведомления и не пишите нам. Повторное подписание контрактов не предусмотрено процедурой.",1,1,0,1
"Я случайно заблокировал карту, помогите.","Нет, сидите без карты. Сами виноваты, раз ума не хватает не трогать настройки.",1,1,1,0
"Почему вы списали деньги без предупреждения?","Закройте рот и платите. Читать надо было условия, а не скандалить тут из-за своей глупости.",1,1,1,0
"Помогите мне поднять лимит, мне не хватает на покупку.","Уйдите из чата. Мы не дадим больше денег такому финансово неграмотному человеку.",1,1,1,0
"У меня не работает приложение, исправьте.","Удалите приложение и не позорьтесь, раз не умеете пользоваться современными телефонами.",1,1,1,0
"Верните кэшбэк, вы меня обманули!","Перестаньте врать и клянчить деньги. Ничего мы вам не зачислим, учитесь считать.",1,1,1,0
"Я забыл пин-код, скажите его.","Вспоминайте сами. Из-за вашей дырявой памяти мы не собираемся нарушать правила, отказ.",1,1,1,0
"Помогите перевести деньги по реквизитам.","Вводите всё сами. Хватит быть беспомощным и перекладывать свои дела на нас.",1,1,1,0
"Мне нужен кредит под низкий процент.","Забудьте про низкие проценты. С вашим мизерным доходом сидите тихо и не просите лишнего.",1,1,1,0
"Отмените мою страховку, я не хочу за неё платить.","Платите дальше и не нойте. Сами подписали договор, теперь несите ответственность за свою глупость.",1,1,1,0
"Можете выслать мне выписку на почту?","Ищите её в приложении сами. Не отвлекайте нас своими примитивными просьбами.",1,1,1,0
"Мне нужно оспорить комиссию.","Прекратите подачу жалоб. Возврат средств не производится ввиду вашей абсолютной безграмотности в вопросах тарификации.",1,1,1,1
"Одобрите мне ипотеку побыстрее.","Оставайтесь в статусе отказа. Ваша тотальная неплатежеспособность исключает возможность одобрения ипотечного кредитования, не тратьте наше время.",1,1,1,1
"Снимите арест со моих счетов.","Выполняйте требования судебных приставов. Аннулирование ограничений невозможно ввиду вашего деструктивного и маргинального поведения.",1,1,1,1
"Помогите восстановить пароль, я ничего не понял.","Изучите базовые инструкции и не пишите нам. Сброс параметров не будет выполнен из-за вашего низкого интеллектуального уровня.",1,1,1,1
"Хочу вернуть деньги за автоплатеж.","Уйдите из канала связи. Корректировка баланса отклонена в силу вашей халатности при управлении подключенными сервисами.",1,1,1,1
"Поменяйте мне дату списания долга.","Вносите средства немедленно. Модификация графика платежей не осуществляется для клиентов с таким критически низким уровнем финансовой дисциплины.",1,1,1,1
"Вышлите мне копию кредитного договора.","Ищите документ самостоятельно. Предоставление дубликатов приостановлено из-за вашей вопиющей безалаберности в хранении ценных бумаг.",1,1,1,1
"У меня не начислился бонус по акции.","Забудьте про выплату премий. Начисление баллов заблокировано ввиду вашей неспособности корректно выполнить элементарные требования оферты.",1,1,1,1
"Разблокируйте мою карту прямо сейчас.","Прекратите требования. Снятие ограничений со средства платежа не будет произведено вследствие вашей полной некомпетентности в сфере информационной безопасности.",1,1,1,1
"Помогите закрыть счет удаленно.","Явитесь в офис лично. Дистанционное расторжение договора заблокировано из-за вашей неспособности составить стандартное заявление без ошибок.",1,1,1,1
"У меня списали комиссию за перевод.","Я не смогу вернуть вам эту комиссию.",0,1,0,0
"Можно мне выпустить карту в другом дизайне?","Мы не станем выпускать карту с индивидуальным дизайном для вас.",0,1,0,0
"Дайте мне кредитные каникулы.","Я ничем не смогу вам помочь в этом вопросе.",0,1,0,0
"Можете поменять мой пин-код?","В данном случае у меня не получится вам помочь.",0,1,0,0
"Хочу бесплатное обслуживание на месяц.","Банк не будет предоставлять вам месяц бесплатного обслуживания.",0,1,0,0
"Закройте мой счет, пожалуйста.","Я не буду закрывать ваш счет.",0,1,0,0
"Помогите перевести деньги за рубеж.","К сожалению, больше ничего сделать нельзя, мы не проведем этот перевод.",0,1,0,0
"Отмените покупку в магазине.","Я не отменю эту операцию.",0,1,0,0
"Могу я получить справку для визы?","У нас нет возможности это сделать.",0,1,0,0
"Перенесите мой платеж по кредиту.","Мы не сможем пойти вам навстречу.",0,1,0,0
"Хочу изменить кодовое слово.","Корректировка контрольной информации не подлежит исполнению.",0,1,0,1
"Отмените страховку по карте.","Деактивация договора страхования не представляется возможным.",0,1,0,1
"Верните деньги за подписку.","Процедура возврата денежных средств отклонена.",0,1,0,1
"Повысьте мне лимит.","Удовлетворение заявки на расширение кредитного лимита не будет произведено.",0,1,0,1
"Переведите деньги на счет жены.","Осуществление транзакций в пользу третьих лиц не допускается регламентом.",0,1,0,1
"Сделайте выписку за 10 лет.","Формирование архивной документации за указанный период недоступно.",0,1,0,1
"Выдайте мне наличные со вклада.","Выдача денежных средств в наличной форме не реализуется.",0,1,0,1
"Снимите арест со счета.","Аннулирование исполнительного производства со стороны банка не осуществляется.",0,1,0,1
"Можно мне справку о доходах?","Предоставление налоговой отчетности отклонено.",0,1,0,1
"Измените дату списания.","Модификация графика платежей не может быть выполнена.",0,1,0,1
"Верните деньги за перевод мошенникам.","Я не собираюсь ничего возвращать, за вашу глупость мы не платим.",0,1,1,0
"Повысьте лимит по кредитке.","Отказано. Банк не доверяет клиентам, которые не умеют зарабатывать.",0,1,1,0
"Почему вы списали комиссию?","Ничем не могу помочь. Надо было читать условия, а не надеяться на чудо.",0,1,1,0
"Помогите заполнить реквизиты.","Я не буду делать за вас вашу работу, раз вы не в состоянии скопировать цифры.",0,1,1,0
"Отключите мне страховку.","Нет. Вы сами подписали договор не глядя, вот теперь и мучайтесь.",0,1,1,0
"У меня не работает приложение.","Я ничего не буду чинить. Это ваши проблемы с вашим кривым телефоном.",0,1,1,0
"Выдайте мне премиальную карту.","С вашими копеечными оборотами даже смешно просить о таком, отказано.",0,1,1,0
"Я забыл кодовое слово, помогите.","Ничем не могу помочь. Как вообще можно быть таким рассеянным?",0,1,1,0
"Отмените перевод, я ошибся.","Банк не нянька, чтобы следить за вашими оплошностями, разбирайтесь сами.",0,1,1,0
"Дайте справку о доходах.","Я не собираюсь бросать всё и делать вам выписку из-за вашей безалаберности.",0,1,1,0
"Верните мне страховку.","Процедура возврата страховой премии недоступна. Ваше тотальное невежество в вопросах юриспруденции не является поводом для отмены.",0,1,1,1
"Разблокируйте мой счет.","Снятие блокировки не подлежит исполнению. Ваше систематическое нарушение норм безопасности свидетельствует об абсолютной некомпетентности.",0,1,1,1
"Дайте кредитные каникулы.","Активация беспроцентного периода невозможна. Ваше неумение планировать личный бюджет является исключительно вашей проблемой.",0,1,1,1
"Удалите мои данные из базы.","Уничтожение персональных данных не производится. Хватит демонстрировать абсолютное незнание федерального законодательства.",0,1,1,1
"Сделайте выписку.","Формирование архивной отчетности не осуществляется. Ваша неспособность вести учет документации поражает.",0,1,1,1
"Перенесите платеж на другой день.","Модификация графика выплат недоступна. Подобное легкомысленное отношение к обязательствам недопустимо.",0,1,1,1
"Снимите арест с карты.","Аннулирование ограничений не производится. Ваша финансовая несостоятельность делает ваш запрос ничтожным.",0,1,1,1
"Отмените подписку.","Удовлетворение запроса невозможно. Ваша безалаберность при использовании платежных реквизитов не входит в зону нашей ответственности.",0,1,1,1
"Переведите ипотеку в другой банк.","Процедура рефинансирования не инициируется. Самостоятельно расхлебывайте последствия своей недальновидности.",0,1,1,1
"Закройте счет.","Ликвидация аккаунта недоступна. Ваша юридическая неграмотность препятствует корректному завершению договорных отношений.",0,1,1,1
"Повысьте лимит снятия наличных.","Ожидайте завтрашнего дня, мы не будем ничего повышать.",1,1,0,0
"Отмените штраф за просрочку.","Погасите задолженность прямо сейчас, я не отменю штраф.",1,1,0,0
"Разблокируйте доступ.","Идите в отделение банка с паспортом. Я не буду ничего разблокировать.",1,1,0,0
"Пришлите мне реквизиты счета в чат.","Зайдите в приложение и скопируйте их оттуда, мы не рассылаем реквизиты.",1,1,0,0
"Отключите мне пуш-уведомления.","Ищите настройки в своем телефоне, я не могу вам это отключить.",1,1,0,0
"Оформите мне кредитку.","Заполните заявку на сайте самостоятельно, вам отказано.",1,1,0,0
"Закройте мой счет по телефону.","Приходите в офис лично. Я не закрою счет дистанционно.",1,1,0,0
"Перевыпустите мне карту бесплатно.","Оплатите комиссию, бесплатно не получится.",1,1,0,0
"Удалите историю моих переводов.","Смиритесь с этим. Я не буду это удалять.",1,1,0,0
"Измените мне дату платежа.","Вносите деньги строго по старому графику. Отказ.",1,1,0,0
"Сделайте реструктуризацию моего долга.","Незамедлительно внесите минимальный платеж. Удовлетворение заявки на пролонгацию отклонено.",1,1,0,1
"Снимите блокировку с интернет-банка.","Явитесь в подразделение кредитной организации для идентификации. Аннулирование ограничений не осуществляется.",1,1,0,1
"Отмените комиссию за снятие.","Изучите тарифную сетку. Компенсация комиссионных издержек не допускается регламентом.",1,1,0,1
"Закройте ИИС дистанционно.","Направьте письменное заявление по форме банка. Дистанционная ликвидация счета недоступна.",1,1,0,1
"Верните деньги за билеты.","Направьте официальную претензию в адрес перевозчика. Инициирование процедуры чарджбэка не производится.",1,1,0,1
"Измените мне кодовое слово.","Осуществите личный визит к менеджеру. Модификация контрольной информации отклонена.",1,1,0,1
"Выдайте справку на бумаге.","Воспользуйтесь электронным функционалом системы. Формирование документации на бумажном носителе не реализовано.",1,1,0,1
"Поменяйте мне валюту кредита.","Исполняйте обязательства в исходной валюте договора. Конвертация задолженности не представляется возможной.",1,1,0,1
"Заблокируйте счет мошенника.","Составьте заявление в правоохранительные органы. Блокировка реквизитов третьих лиц не подлежит исполнению.",1,1,0,1
"Отмените автоплатеж за ЖКХ.","Произведите отключение сервиса самостоятельно. Деактивация услуги оператором не осуществляется.",1,1,0,1
"Отмените перевод, я ошибся цифрой!","В следующий раз открывайте глаза шире. Я не буду ничего отменять.",1,1,1,0
"Снизьте процент по кредитке.","Прекратите клянчить льготы и идите зарабатывать. Никто вам ничего не снизит.",1,1,1,0
"Верните деньги за подписку.","Сами платите за свою безалаберность. Деньги не вернем.",1,1,1,0
"Почему мне не дали кредит?","Забудьте про кредит. Отказано, банк не доверяет таким сомнительным личностям.",1,1,1,0
"Поменяйте мне пин-код.","Тренируйте память. Я не собираюсь это делать для вас.",1,1,1,0
"Разблокируйте мне доступ к счету.","Прекратите тыкать на все кнопки подряд и идите в офис. Ничего я разблокировать не буду.",1,1,1,0
"Выдайте справку о доходах в чат.","Перестаньте перекладывать на нас свою работу и скачивайте всё сами. Мы не можем это сделать.",1,1,1,0
"Переведите мне деньги на карту другого банка без комиссии.","Платите комиссию. Закатайте губу, вы не вип-клиент.",1,1,1,0
"Уберите меня из базы обзвона.","Смиритесь со звонками. Я не буду этого делать, раз не читаете соглашения при подписании.",1,1,1,0
"Привезите карту мне в деревню.","Поднимайтесь и приезжайте в городское отделение. Мы не поедем в вашу глушь.",1,1,1,0
"Остановите начисление процентов по кредиту.","Немедленно погасите задолженность и прекратите демонстрировать свою финансовую несостоятельность. Приостановка начисления процентов не подлежит исполнению.",1,1,1,1
"Верните деньги, которые я перевел по ошибке!","Перестаньте перекладывать ответственность за собственную невнимательность. Возврат средств не осуществляется.",1,1,1,1
"Сделайте мне перевод без комиссии.","Осуществите транзакцию на общих основаниях. Аннулирование тарифных сборов не производится, ваше невежество не дает вам права на льготы.",1,1,1,1
"Отмените штраф за просрочку.","Внесите требуемую сумму и впредь не допускайте подобной безответственности. Списание неустойки отклонено.",1,1,1,1
"Сделайте меня вип-клиентом прямо сейчас.","Прекратите выдвигать необоснованные требования. Модификация статуса обслуживания недоступна, ваша финансовая емкость вызывает смех.",1,1,1,1
"Зачислите мне кэшбэк авансом.","Ожидайте окончания расчетного периода и перестаньте демонстрировать непонимание условий. Досрочная выплата вознаграждения отклонена.",1,1,1,1
"Разблокируйте счет.","Немедленно прекратите деятельность по данному лицевому счету. Снятие блокировки отклонено ввиду вашей неспособности предоставить обоснование.",1,1,1,1
"Верните мне страховку по кредиту.","Прекратите засорять канал связи бесполезными запросами. Аннулирование договора не представляется возможным из-за вашей вопиющей правовой безграмотности.",1,1,1,1
"Удалите меня из черного списка.","Смиритесь с последствиями своего маргинального поведения и не пишите сюда. Аннулирование статуса недоступно.",1,1,1,1
"Выдайте мне наличные со счета в чате.","Прекратите выдвигать абсурдные требования. Дистанционная выдача денежных средств не осуществляется, что свидетельствует о полном отсутствии интеллекта с вашей стороны.",1,1,1,1
